user_id,session_id,time,accx,accy,accz,gyrx,gyry,gyrz
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,50,120.61,-73.24,1009.77,-0.37,-2.21,-1.6
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,51,101.56,-73.24,1006.35,2.31,-1.9,-0.02
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,52,90.82,-68.85,1007.32,1.44,-2.98,-0.12
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,53,119.14,-68.36,1024.41,0.73,-7.09,-1.59
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,54,105.47,-58.59,1033.2,-0.35,-1.3,0.93
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,55,102.05,-71.78,1033.69,-1.38,-3.53,1.62
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,56,125.49,-80.57,1032.23,-0.32,-0.11,1.79
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,57,115.23,-62.99,1024.41,0.37,-0.55,-0.95
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,58,117.68,-69.34,1027.83,-1.83,0.11,2.15
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,59,111.82,-60.06,1008.3,-1.25,-2.19,-0.69
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,60,117.68,-59.08,1021.97,0.11,-0.51,-1.14
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,61,107.42,-69.34,1005.37,2.86,-0.53,0.67
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,62,117.19,-65.43,1006.84,2.4,-4.21,-1.85
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,63,132.81,-80.57,1021.48,4.52,-0.73,-2.28
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,64,114.26,-73.24,1035.16,3.5,-1.23,1.32
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,65,124.51,-62.5,1015.62,0.6,-4.13,-1.24
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,66,105.96,-60.55,1036.13,0.34,-4.63,1.54
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,67,115.23,-59.08,1028.32,1.45,-0.08,2.65
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,68,121.09,-56.15,1017.58,1.74,-1.85,-1.55
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,69,113.77,-65.92,1022.46,1.55,-1.81,1.77
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,70,137.21,-50.29,1024.41,1.43,-3.31,-0.82
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,71,125,-54.2,1028.81,-0.6,-2.25,1.55
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,72,131.35,-56.15,1025.39,-0.77,0.14,1.33
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,73,119.14,-64.94,1040.04,0.37,1.81,-0.4
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,74,122.56,-62.5,1022.46,1.03,-0.49,-0.1
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,75,119.63,-64.45,1019.04,0.3,-0.89,0.95
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,76,139.65,-49.32,1028.32,-0.64,-0.02,2.73
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,77,102.05,-43.95,1030.76,-1.85,-2.05,0.33
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,78,130.37,-62.99,1019.53,-0.91,-1.69,0.53
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,79,131.84,-66.89,1021.48,-1.15,-3.72,-0.17
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,80,125.49,-62.01,1014.65,-0.24,-0.63,0.85
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,81,126.46,-53.71,1017.58,-0.9,-2.47,-0.6
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,82,126.95,-66.41,1024.41,-0.12,-0.9,0.28
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,83,110.84,-76.17,1006.35,-0.89,-0.63,0.09
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,84,123.54,-54.69,1019.53,0.86,0.16,2.95
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,85,119.14,-53.71,1001.95,2.85,-1.44,0.97
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,86,153.32,-60.55,1010.74,0.81,-2.08,0.57
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,87,159.18,-62.01,1003.42,-1.4,-4.15,0.29
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,88,120.12,-43.46,1033.2,-0.84,-1.79,0.31
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,89,132.32,-57.62,1031.74,0.52,-2.27,-5.91
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,90,119.63,-70.8,1019.53,6.53,-3.49,-8.89
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,91,143.07,-64.94,992.19,10.83,-6.64,-10.73
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,92,144.04,-27.34,1005.86,6.06,-3.95,-7.44
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,93,185.06,-77.15,1013.67,-3.6,-5.24,-1.62
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,94,179.2,-67.87,1039.06,-3.16,-3.33,2.45
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,95,153.32,-66.41,1030.27,-0.95,-0.11,0.14
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,96,116.21,-41.02,1041.02,2.19,5.03,6.51
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,97,122.56,-20.51,1008.79,3.6,2.08,1.88
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,98,127.93,-49.32,991.7,3.79,2.17,1.56
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,99,136.72,-41.5,1001.95,3.4,1.27,-0.4
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,100,103.03,-32.71,1015.62,5.45,-4.64,2.39
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,101,161.13,-18.07,1023.93,3.27,-3.9,1.68
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,102,167.48,-32.23,1011.72,-2.46,-3.1,-0.25
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,103,170.41,-47.85,1024.9,-6.93,-3.21,2.04
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,104,151.37,-55.18,1026.86,-4.36,-3.16,-0.24
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,105,171.39,-64.94,1036.62,-0.01,2.21,4.38
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,106,162.6,-36.62,1033.2,-4.32,0.33,3.72
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,107,157.23,-55.66,1023.44,-4.9,3.76,-1.08
