Time(s),Raw_Voltage,Smoothed_Envelope
3.166100978851318359e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.187334060668945312e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.203412055969238281e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.225307941436767578e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.241688251495361328e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.263186931610107422e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.279365062713623047e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.300533056259155273e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.316653251647949219e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.338038206100463867e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.354154109954833984e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.375438213348388672e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.391532182693481445e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.412695169448852539e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.428786993026733398e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.450026988983154297e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.466095924377441406e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.487321853637695312e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.503424167633056641e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.525720119476318359e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.542598962783813477e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.564726114273071289e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.581489086151123047e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.603159189224243164e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.619894027709960938e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.642040252685546875e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.658755064010620117e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.680489063262939453e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.697166204452514648e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.718861103057861328e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.735603094100952148e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.757169961929321289e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.774350166320800781e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.796121120452880859e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.812643051147460938e+00,0.000000000000000000e+00,0.000000000000000000e+00
