AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp_C
-128.91,-231.45,1347.66,-25.19,21.41,4.56,10.5,-6.15,48.15,34.4
-161.13,-279.79,1367.19,-24.3,53.2,17.62,10.05,-8.1,49.05,34.5
-184.57,-265.62,1237.79,-12.55,88.5,29.0,12.9,-8.1,49.05,34.55
-166.02,-248.54,1139.65,-9.21,112.09,41.6,13.8,-9.75,49.95,34.5
-274.41,-178.71,1033.2,-0.56,125.15,55.44,17.25,-8.25,49.5,34.21
-450.2,-166.5,890.62,11.45,136.01,50.79,19.95,-8.4,49.65,34.5
-541.5,-79.1,769.53,5.02,116.98,45.15,26.7,-7.8,49.35,34.4
-590.33,-78.12,711.43,27.41,122.79,54.24,25.95,-6.3,50.1,34.4
-731.45,-53.71,662.6,35.93,100.67,61.08,30.3,-7.2,46.05,34.64
-687.01,-42.97,708.01,39.5,66.99,61.94,32.85,-4.65,45.75,34.4
-658.2,-56.15,578.12,19.92,69.2,40.85,35.55,-4.8,42.45,34.5
-751.46,-66.89,662.11,16.7,73.64,17.96,37.8,-3.9,43.35,34.64
-793.95,-28.81,612.79,-5.49,62.36,9.98,39.6,-4.95,42.9,34.5
-804.69,22.46,483.89,-23.02,53.78,3.26,40.8,-3.75,40.65,34.55
-806.15,-37.6,535.16,-5.75,69.48,14.86,41.7,-4.65,39.75,34.69
-810.06,-44.43,482.42,-3.05,84.75,13.56,43.5,-5.7,37.05,34.5
-774.41,58.59,504.39,33.02,35.37,4.88,44.1,-3.15,37.05,34.5
-828.61,100.59,502.93,32.09,49.01,6.13,44.85,-4.65,35.25,34.4
-890.14,0.49,354.49,-33.11,31.7,0.82,46.95,-3.6,34.95,34.5
-872.07,-18.07,332.03,0.8,20.37,6.98,46.8,-3.75,34.05,34.5
-906.74,-56.64,484.37,6.76,41.93,6.44,46.5,-5.85,32.7,34.64
-965.33,124.51,319.82,1.95,11.59,-0.67,49.35,-3.0,31.95,34.5
-968.75,72.27,417.48,-1.22,19.79,-2.2,47.85,-3.45,31.95,34.5
-913.57,-43.95,338.38,-10.65,16.36,-3.73,48.6,-4.05,31.35,34.4
-880.86,-44.43,262.21,2.92,28.44,-6.44,49.05,-4.65,30.75,34.5
-890.62,7.81,361.82,6.71,28.02,-3.95,50.25,-4.35,29.7,34.64
-899.41,40.04,177.25,9.07,11.72,-7.23,51.75,-3.45,28.5,34.4
-880.86,-13.18,316.89,12.97,8.64,-5.03,50.7,-5.55,29.55,34.5
-1015.14,-32.23,231.45,-1.64,9.66,-3.87,50.25,-5.4,28.05,34.31
-1010.74,-47.85,364.75,-16.18,15.52,-6.47,50.55,-3.6,27.3,34.4
-1019.04,-106.93,313.48,3.47,10.98,-7.85,51.0,-3.45,28.2,34.31
-962.4,-48.34,312.5,-2.92,6.0,-8.8,51.9,-4.95,27.3,34.21
-943.85,-9.28,292.97,4.84,-0.23,-3.16,51.75,-5.85,27.9,34.64
-897.46,-92.29,263.18,3.13,3.35,-5.11,52.95,-7.2,28.35,34.83
-959.96,-78.61,226.56,-0.4,-1.59,-8.79,51.0,-6.6,28.2,34.31
-1065.92,31.25,279.79,-4.18,-8.08,-0.48,52.8,-5.55,27.45,34.31
-967.77,-98.14,307.62,-15.75,-7.89,-2.62,49.65,-7.35,27.45,34.5
-957.03,-47.36,374.51,-5.11,-11.86,-3.5,51.6,-5.7,27.75,34.64
-960.45,-88.38,325.68,3.41,-0.67,2.47,50.85,-9.0,27.75,34.64
-933.11,-91.8,309.57,4.05,-1.46,-2.71,49.95,-7.35,26.85,34.4
-986.33,-72.75,299.32,1.54,-4.11,0.9,52.8,-5.25,26.85,34.69
-943.85,-79.1,342.29,3.1,-0.56,0.27,51.45,-7.35,28.95,34.64
-944.34,-81.54,314.94,-9.51,-4.79,4.85,53.55,-6.3,29.25,34.5
-983.89,-145.02,315.43,-3.26,8.02,6.7,50.7,-7.05,28.5,34.31
-985.84,-86.43,277.34,2.15,3.56,4.99,50.55,-6.45,29.1,34.36
-994.14,-73.24,289.06,0.13,7.37,6.63,49.8,-5.7,28.35,34.5
-1005.37,-29.3,308.59,-9.71,-2.69,9.99,51.75,-7.35,28.2,34.4
-962.4,-55.66,328.12,-9.21,-2.07,7.31,52.35,-4.65,27.0,34.64
-938.48,-83.98,260.25,-4.21,-1.1,3.05,51.6,-6.15,27.75,34.64
-962.4,-35.64,317.38,0.76,-2.37,6.98,52.2,-6.6,28.95,34.55
-979.49,-36.62,396.97,-2.73,-4.44,6.48,52.8,-6.3,27.45,34.64
-960.94,-24.41,349.12,-12.65,-7.37,5.66,51.3,-5.7,28.35,34.5
-946.78,-65.43,307.62,-0.97,4.54,1.94,49.35,-5.25,28.95,34.69
-956.05,-24.9,281.74,7.51,2.5,0.5,50.85,-6.45,28.05,34.55
