AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp_C
46.88,0.49,1035.64,-5.98,-4.02,-206.72,32.55,-35.1,60.0,25.59
22.46,-8.79,1038.09,4.69,-3.21,-204.48,30.6,-38.55,60.75,25.87
37.6,23.44,1034.18,0.82,2.4,-110.88,27.9,-41.4,60.0,25.59
26.86,-18.55,1045.41,3.56,-2.89,-103.73,25.35,-43.2,60.0,25.73
11.23,-46.39,1042.97,-3.77,-0.3,-82.17,23.4,-42.9,61.5,25.68
32.71,-3.91,1046.88,-1.29,0.34,-55.23,21.0,-45.15,62.25,25.87
15.63,6.35,1030.76,-0.27,1.74,-38.07,19.95,-46.65,61.5,25.68
43.46,10.74,1038.57,0.54,0.0,-20.47,18.3,-46.05,62.7,25.73
-23.44,-9.77,1043.46,-0.71,-0.66,-7.21,19.95,-46.95,60.75,25.78
0.49,1.95,1040.53,-0.23,1.73,0.06,18.75,-45.3,61.05,25.87
-20.02,6.84,1042.97,-1.66,-0.96,1.68,18.0,-45.0,61.95,25.78
-9.77,-11.72,1037.6,0.12,1.14,0.96,20.25,-45.15,61.2,25.87
5.86,5.37,1058.11,-1.19,1.02,0.79,18.75,-46.05,62.4,25.68
-11.23,4.88,1035.64,-0.8,1.61,2.07,18.75,-47.1,62.4,25.87
11.72,9.77,1047.36,0.07,1.73,1.99,19.5,-44.85,62.55,25.73
-1.95,0.49,1043.95,0.95,-0.3,2.1,18.15,-44.85,62.85,25.35
6.84,-9.77,1043.95,0.53,0.84,-3.36,19.35,-44.25,62.7,25.44
9.77,-3.42,1041.99,1.5,-2.15,-2.05,20.25,-46.2,62.85,25.25
-2.44,-7.81,1050.78,-1.19,1.9,0.81,18.0,-44.25,61.95,25.59
3.42,-8.3,1050.78,-2.19,-1.02,0.69,19.35,-45.75,61.35,25.54
-3.91,3.42,1033.2,0.4,1.15,-0.66,19.8,-45.75,61.35,25.73
2.93,-4.88,1041.5,0.02,-3.39,0.31,19.35,-46.05,63.45,25.44
-5.37,-15.63,1041.02,-1.06,1.48,30.01,19.05,-47.55,61.35,25.68
0.98,-25.39,1042.97,0.46,-1.85,58.97,20.1,-45.3,64.5,25.25
10.74,2.44,1047.85,7.22,-1.17,84.68,21.3,-45.45,62.55,25.59
25.88,-23.93,1033.2,3.7,-0.48,101.68,23.7,-42.75,62.4,25.54
11.72,-23.44,1042.97,-5.98,1.27,126.16,25.35,-42.75,60.6,25.44
-6.84,-50.29,1001.95,3.5,6.3,198.0,26.85,-42.45,61.35,25.78
-153.81,21.0,1057.13,10.18,1.68,225.13,31.05,-38.1,61.05,25.54
16.11,51.27,1033.69,3.47,5.91,250.13,32.85,-31.95,60.0,25.54
21.48,2.93,1047.85,-3.36,-1.0,154.32,36.75,-29.7,63.0,25.54
10.25,38.57,1039.55,10.5,-2.12,194.55,38.25,-26.7,60.45,25.73
-42.97,-33.69,1048.83,1.98,-0.57,174.56,38.55,-23.25,60.6,25.59
41.02,27.83,1051.27,3.11,-0.8,138.75,40.5,-19.35,61.2,25.35
4.88,3.42,1042.48,-1.28,-1.22,135.91,41.4,-15.9,60.3,25.68
-46.88,78.61,1032.71,-0.45,2.18,153.38,43.5,-13.05,61.35,25.54
-63.48,123.54,1053.22,1.02,0.05,116.67,41.7,-11.25,61.05,25.59
3.42,43.46,1050.29,3.85,0.76,98.71,41.4,-7.5,61.35,25.54
18.55,101.07,1036.62,0.59,0.79,97.45,40.95,-5.7,61.35,25.68
-55.66,-0.49,1039.55,-1.47,1.58,80.09,40.95,-1.8,60.3,25.68
-26.37,-3.91,1026.37,1.0,-1.98,66.86,40.2,-1.05,61.65,25.44
-17.58,-83.98,1039.06,0.8,1.39,49.76,41.55,0.45,60.75,25.68
4.88,13.18,1039.55,-0.96,-0.62,27.25,39.75,2.7,61.5,25.25
13.18,-16.11,1034.18,-0.33,-0.34,10.34,39.9,0.0,59.55,25.39
-0.49,2.93,1047.85,-1.02,-0.19,-1.91,40.65,0.6,60.0,25.35
10.74,34.67,1043.46,-1.11,-3.2,-73.08,39.75,1.5,61.2,25.54
-0.98,-43.95,1023.93,-0.79,-5.18,-103.84,40.65,0.0,62.7,25.59
-21.97,225.1,1045.41,-1.04,-2.69,-197.54,41.7,-3.15,61.65,25.54
-4.39,-50.29,1040.04,-6.13,1.6,-199.79,40.8,-10.65,60.75,25.54
5.37,-39.55,1044.92,2.02,-1.2,-136.89,41.55,-15.75,57.75,25.73
62.5,55.66,1011.23,2.4,0.48,-106.18,39.75,-16.5,57.75,25.68
172.85,-1.46,1027.34,-3.66,1.96,-139.84,40.8,-17.85,56.7,25.68
36.13,16.6,1048.83,1.95,-5.09,-185.48,38.7,-20.1,54.15,25.44
47.85,-54.69,1027.83,-7.31,3.18,-218.54,37.8,-24.3,54.45,25.54
62.5,-27.34,1044.43,1.25,-3.03,-198.28,38.55,-27.6,55.5,25.39
-118.65,-19.04,1041.99,-2.46,-0.06,-166.83,37.05,-31.95,54.75,25.54
6.84,-104.0,1045.9,3.22,-1.73,-141.55,33.6,-34.8,55.05,25.35
8.79,12.21,1033.69,1.93,-1.71,-123.85,31.05,-38.4,55.05,25.54
-44.43,-17.58,1045.41,6.38,0.29,-136.11,29.1,-39.75,55.2,25.39
-12.21,9.77,1053.22,-1.73,-1.64,-118.38,27.6,-40.95,55.8,25.54
-42.48,9.28,1050.29,-8.47,0.35,-129.52,25.65,-42.3,56.25,25.68
21.97,25.39,1039.55,-2.49,-0.25,-87.71,24.45,-43.65,55.95,25.44
-15.63,-67.87,1044.43,-2.3,1.52,-88.93,21.45,-45.0,56.4,25.39
54.2,184.08,1050.78,-6.17,1.02,-81.22,18.9,-46.65,55.2,25.35
4.39,25.88,1041.99,0.53,-0.82,-42.76,17.1,-47.7,56.7,25.25
-14.16,-19.04,1037.11,0.54,0.31,-16.18,17.25,-48.9,57.9,25.2
-6.35,-16.6,1049.32,1.69,1.08,2.15,15.3,-47.7,57.0,25.15
132.81,-103.52,1047.85,2.6,-2.07,78.04,15.9,-50.1,57.15,25.44
127.44,23.93,1045.41,5.66,-2.15,136.2,18.15,-47.7,57.0,25.35
-139.16,88.87,1071.29,1.24,-2.6,213.07,20.1,-48.3,56.1,25.54
22.46,3.91,1031.25,6.89,2.22,158.64,24.15,-45.45,53.55,25.68
9.77,23.44,1044.43,11.88,2.89,123.98,28.35,-42.9,54.9,25.2
28.32,1.95,1043.46,-0.72,-0.26,134.85,29.1,-39.0,53.1,25.44
-24.41,-54.69,1040.04,3.89,-2.69,159.05,32.25,-39.3,51.75,25.35
2.93,9.77,1056.15,10.32,1.48,223.72,35.55,-36.0,53.1,25.39
-67.87,53.22,1046.39,18.3,-2.38,250.13,38.25,-29.85,52.5,25.25
-52.73,20.02,1037.6,10.23,1.75,245.0,40.05,-23.7,51.75,25.44
-27.83,-30.76,1049.32,3.79,7.47,220.43,41.1,-17.85,53.85,25.15
11.72,8.79,1045.41,-3.65,-3.4,189.72,41.55,-15.0,51.45,25.25
6.35,-18.07,1044.43,0.55,-0.92,113.01,42.0,-8.25,54.0,25.2
-15.63,50.78,1045.9,1.26,0.92,131.02,42.6,-7.05,54.6,25.59
-259.77,263.18,1052.25,4.69,-3.97,123.01,40.8,-3.45,53.55,25.44
-22.46,85.94,1044.92,0.19,2.27,155.49,40.5,-1.5,54.6,25.39
-3.42,-65.43,1040.04,3.97,0.31,82.18,39.45,-0.9,54.6,25.25
-50.29,62.99,1025.88,1.39,-2.47,98.02,38.85,1.35,53.4,25.39
-4.88,50.29,1041.99,1.95,0.02,72.24,39.0,3.75,54.9,25.2
6.84,-13.18,1053.22,1.99,0.33,8.25,38.1,4.95,53.7,24.91
0.0,11.23,1042.48,0.59,2.26,12.84,37.65,5.25,54.9,25.15
4.39,-4.88,1049.8,-0.35,-1.26,7.21,37.8,5.4,53.4,25.15
2.93,-4.39,1039.06,2.64,-1.02,3.02,37.8,5.7,54.0,25.35
6.35,-4.39,1035.64,-0.24,0.31,1.13,37.2,5.25,54.6,25.25
3.42,-2.93,1049.32,0.37,2.55,-5.93,37.65,7.05,55.65,25.39
31.25,-243.65,1028.81,-9.74,2.38,-149.41,37.95,4.5,55.95,25.15
19.53,-42.97,1035.64,-7.22,-0.4,-249.3,39.75,2.25,55.95,25.2
-88.87,-604.98,1025.88,-3.09,-15.45,-148.92,39.9,-1.8,55.8,25.25
-12.21,-47.36,1006.84,-3.82,1.15,-183.41,40.5,-3.45,55.65,25.44
8.3,13.67,1046.39,-12.82,-9.27,-167.08,43.35,-6.6,55.95,25.35
1.95,37.11,1037.6,-3.7,6.27,-167.88,42.0,-10.8,57.15,25.44
31.25,-97.66,1037.6,7.98,-0.06,-180.39,42.0,-12.6,56.1,25.39
-39.06,8.3,1030.27,-0.21,-2.89,-221.83,40.65,-18.75,60.3,25.25
-143.07,-7.32,1031.74,3.05,-3.93,-216.84,39.45,-24.15,58.35,25.44
22.46,53.71,1043.95,-4.01,-2.08,-169.16,38.25,-26.7,58.35,25.2
-52.73,-5.86,1045.9,6.71,-0.67,-172.48,35.7,-31.95,59.25,25.25
-15.63,-4.88,1046.39,5.74,-4.45,-95.95,33.75,-34.65,59.1,25.06
-13.18,135.25,1035.64,-0.53,1.77,-151.7,31.2,-37.2,60.15,25.2
46.39,-21.97,1041.99,-12.29,1.11,-115.7,29.55,-39.3,59.7,25.15
-53.22,498.05,1037.6,3.86,1.74,-120.47,27.6,-40.2,60.6,25.15
-390.62,530.76,1044.43,1.6,-0.35,-91.59,24.0,-41.7,61.95,25.15
-22.95,41.02,1033.69,-5.83,-0.28,-136.03,21.75,-45.9,61.2,25.44
-10.74,-3.42,1024.9,-1.48,1.9,-66.6,19.05,-45.0,61.35,25.25
-11.72,-8.3,1032.71,-4.05,0.98,-33.26,19.35,-47.55,61.65,25.2
-4.39,-30.76,1038.57,-1.76,-0.87,-20.84,18.0,-47.55,61.65,25.2
-16.6,-12.21,1029.79,1.0,1.26,-3.11,17.25,-46.8,63.0,25.35
-4.88,-10.25,1033.69,-0.17,-1.06,-0.52,16.5,-46.5,62.4,25.35
34.18,-57.13,1057.62,-5.76,5.23,39.47,17.55,-46.8,61.95,25.39
-38.09,109.37,1040.04,0.57,-2.89,40.51,19.8,-46.8,62.4,25.39
-18.55,-20.51,1040.53,-2.21,-3.5,141.8,19.2,-44.85,59.7,25.35
-23.44,-280.27,1047.36,6.08,-0.16,147.97,22.05,-41.55,58.05,25.39
40.04,53.71,1030.27,3.78,2.28,151.42,24.45,-42.3,57.75,25.25
10.25,40.53,1036.13,1.18,3.08,126.01,28.35,-39.0,56.7,25.35
-7.81,-33.2,1037.11,4.27,0.91,148.98,29.25,-35.85,56.4,25.2
62.5,-209.47,1029.3,7.13,5.08,211.63,31.8,-34.8,57.15,25.2
-2.44,23.44,1017.58,-10.86,-6.77,250.13,34.65,-31.5,55.5,25.39
68.36,10.25,1033.69,8.09,-0.08,198.92,35.85,-24.75,56.25,25.2
-14.65,92.29,1035.64,11.6,-0.1,226.75,37.2,-22.95,58.65,25.01
30.76,-30.76,1040.53,7.54,-0.25,241.3,38.25,-15.75,59.7,25.25
-10.74,40.53,1026.86,7.37,-0.3,154.32,38.85,-12.3,58.5,25.25
7.32,-5.86,1045.41,5.04,1.0,156.85,39.15,-9.75,59.55,25.25
-89.84,117.68,1010.25,0.79,4.21,172.23,39.15,-3.9,58.5,25.39
47.36,-78.61,1042.48,14.76,1.5,149.06,37.05,-2.1,58.2,25.35
-21.48,38.57,1155.27,-2.26,2.01,145.27,36.9,2.25,55.95,25.15
9.28,48.34,1040.04,5.66,-2.06,134.24,36.15,2.7,55.95,25.39
40.04,134.77,1044.92,2.76,-1.63,102.05,34.65,6.15,55.5,25.35
